Month,Hour,Total
4,0,11910
4,1,7769
4,2,4935
4,3,5040
4,4,6095
4,5,9476
4,6,18498
4,7,24924
4,8,22843
4,9,17939
4,10,17865
4,11,18774
4,12,19425
4,13,22603
4,14,27190
4,15,35324
4,16,42003
4,17,45475
4,18,43003
4,19,38923
4,20,36244
4,21,36964
4,22,30645
4,23,20649
5,0,13875
5,1,8186
5,2,5372
5,3,5946
5,4,6945
5,5,10789
5,6,21015
5,7,27413
5,8,25460
5,9,20507
5,10,20801
5,11,22055
5,12,23595
5,13,27699
5,14,34363
5,15,43087
5,16,49127
5,17,51508
5,18,48965
5,19,42387
5,20,40731
5,21,42217
5,22,35556
5,23,24836
6,0,14514
6,1,9167
6,2,6189
6,3,6937
6,4,7701
6,5,11955
6,6,22030
6,7,30834
6,8,29771
6,9,24298
6,10,23584
6,11,24155
6,12,25233
6,13,28937
6,14,34428
6,15,41586
6,16,48162
6,17,50452
6,18,45013
6,19,38203
6,20,40108
6,21,40791
6,22,35614
6,23,24182
7,0,17953
7,1,11527
7,2,8562
7,3,9199
7,4,10040
7,5,14932
7,6,23456
7,7,32545
7,8,33387
7,9,28486
7,10,28558
7,11,30120
7,12,30900
7,13,35832
7,14,41357
7,15,46053
7,16,52403
7,17,58260
7,18,57268
7,19,52332
7,20,51859
7,21,49528
7,22,42218
7,23,29346
8,0,21451
8,1,14471
8,2,10105
8,3,10376
8,4,11774
8,5,16525
8,6,24907
8,7,34064
8,8,34566
8,9,30195
8,10,30706
8,11,31778
8,12,32106
8,13,35764
8,14,40644
8,15,48197
8,16,53481
8,17,57122
8,18,55390
8,19,53008
8,20,51674
8,21,51354
8,22,46008
8,23,33609
9,0,24133
9,1,16107
9,2,10702
9,3,10789
9,4,12675
9,5,20262
9,6,33307
9,7,43314
9,8,44477
9,9,38542
9,10,37634
9,11,38821
9,12,39193
9,13,45042
9,14,52643
9,15,61219
9,16,68224
9,17,73373
9,18,75040
9,19,69660
9,20,63988
9,21,60606
9,22,51817
9,23,36568
